threshold,true_positives,true_negatives,false_positives,false_negatives,sensitivity_recall,specificity,precision,f1,model
0.1,52,80,10,1,0.9811320754716981,0.8888888888888888,0.8387096774193549,0.9043478260869565,logistic_regression
0.15,51,84,6,2,0.9622641509433962,0.9333333333333333,0.8947368421052632,0.9272727272727272,logistic_regression
0.2,51,86,4,2,0.9622641509433962,0.9555555555555556,0.9272727272727272,0.9444444444444444,logistic_regression
0.25,51,87,3,2,0.9622641509433962,0.9666666666666667,0.9444444444444444,0.9532710280373832,logistic_regression
0.3,51,88,2,2,0.9622641509433962,0.9777777777777777,0.9622641509433962,0.9622641509433962,logistic_regression
0.35,51,89,1,2,0.9622641509433962,0.9888888888888889,0.9807692307692307,0.9714285714285714,logistic_regression
0.4,51,89,1,2,0.9622641509433962,0.9888888888888889,0.9807692307692307,0.9714285714285714,logistic_regression
0.45,50,89,1,3,0.9433962264150944,0.9888888888888889,0.9803921568627451,0.9615384615384616,logistic_regression
0.5,50,89,1,3,0.9433962264150944,0.9888888888888889,0.9803921568627451,0.9615384615384616,logistic_regression
0.55,49,89,1,4,0.9245283018867925,0.9888888888888889,0.98,0.9514563106796117,logistic_regression
0.6,49,89,1,4,0.9245283018867925,0.9888888888888889,0.98,0.9514563106796117,logistic_regression
0.65,48,89,1,5,0.9056603773584906,0.9888888888888889,0.9795918367346939,0.9411764705882353,logistic_regression
0.7,48,90,0,5,0.9056603773584906,1.0,1.0,0.9504950495049505,logistic_regression
0.75,48,90,0,5,0.9056603773584906,1.0,1.0,0.9504950495049505,logistic_regression
0.8,48,90,0,5,0.9056603773584906,1.0,1.0,0.9504950495049505,logistic_regression
0.85,46,90,0,7,0.8679245283018868,1.0,1.0,0.9292929292929293,logistic_regression
0.9,44,90,0,9,0.8301886792452831,1.0,1.0,0.9072164948453608,logistic_regression
0.1,53,74,16,0,1.0,0.8222222222222222,0.7681159420289855,0.8688524590163934,random_forest
0.15,53,78,12,0,1.0,0.8666666666666667,0.8153846153846154,0.8983050847457628,random_forest
0.2,53,81,9,0,1.0,0.9,0.8548387096774194,0.9217391304347826,random_forest
0.25,53,84,6,0,1.0,0.9333333333333333,0.8983050847457628,0.9464285714285714,random_forest
0.3,52,87,3,1,0.9811320754716981,0.9666666666666667,0.9454545454545454,0.9629629629629629,random_forest
0.35,50,87,3,3,0.9433962264150944,0.9666666666666667,0.9433962264150944,0.9433962264150944,random_forest
0.4,50,88,2,3,0.9433962264150944,0.9777777777777777,0.9615384615384616,0.9523809523809523,random_forest
0.45,50,89,1,3,0.9433962264150944,0.9888888888888889,0.9803921568627451,0.9615384615384616,random_forest
0.5,49,89,1,4,0.9245283018867925,0.9888888888888889,0.98,0.9514563106796117,random_forest
0.55,49,90,0,4,0.9245283018867925,1.0,1.0,0.9607843137254902,random_forest
0.6,46,90,0,7,0.8679245283018868,1.0,1.0,0.9292929292929293,random_forest
0.65,45,90,0,8,0.8490566037735849,1.0,1.0,0.9183673469387755,random_forest
0.7,44,90,0,9,0.8301886792452831,1.0,1.0,0.9072164948453608,random_forest
0.75,42,90,0,11,0.7924528301886793,1.0,1.0,0.8842105263157894,random_forest
0.8,42,90,0,11,0.7924528301886793,1.0,1.0,0.8842105263157894,random_forest
0.85,36,90,0,17,0.6792452830188679,1.0,1.0,0.8089887640449438,random_forest
0.9,34,90,0,19,0.6415094339622641,1.0,1.0,0.7816091954022989,random_forest
